Date,GOOGL,AAPL,MSFT
2026-04-21,332.29,266.17,424.16
2026-04-22,339.32,273.17,432.92
2026-04-23,338.89,273.43,415.75
2026-04-24,344.40,271.06,424.62
2026-04-27,350.34,267.61,424.82
2026-04-28,349.78,270.71,429.25
2026-04-29,349.94,270.17,424.46
2026-04-30,384.80,271.35,407.78
2026-05-01,385.69,280.14,414.44
2026-05-04,383.25,276.83,413.62
2026-05-05,388.43,284.18,411.38
2026-05-06,398.04,287.51,413.96
2026-05-07,397.99,287.44,420.77
2026-05-08,400.80,293.32,415.12
2026-05-11,388.64,292.68,412.66
2026-05-12,387.35,294.80,407.77
2026-05-13,402.62,298.87,405.21
2026-05-14,401.07,298.21,409.43
2026-05-15,396.78,300.23,421.92
2026-05-18,396.94,297.84,423.54
2026-05-19,387.66,298.97,417.42
2026-05-20,388.91,302.25,421.06
2026-05-21,387.66,304.99,419.09
2026-05-22,382.97,308.82,418.57
2026-05-26,388.88,308.33,416.03
2026-05-27,388.83,310.85,412.67
2026-05-28,390.13,312.51,426.99
2026-05-29,380.34,312.06,450.24
2026-06-01,376.37,306.31,460.52
2026-06-02,361.85,315.20,441.31
2026-06-03,358.99,310.26,427.34
2026-06-04,372.19,311.23,428.05
2026-06-05,368.53,307.34,416.67
2026-06-08,363.31,301.54,411.74
2026-06-09,364.26,290.55,403.41
2026-06-10,356.38,291.58,397.36
2026-06-11,357.77,295.63,390.34
2026-06-12,359.68,291.13,390.74
2026-06-15,369.35,296.42,399.76
2026-06-16,373.25,299.24,393.83
2026-06-17,363.79,295.95,378.91
2026-06-18,368.03,298.01,379.40
2026-06-22,349.68,297.01,367.34
2026-06-23,346.13,294.30,373.94
2026-06-24,345.29,293.08,365.46
2026-06-25,343.71,275.15,352.83
2026-06-26,337.39,283.78,372.97
2026-06-29,353.65,281.74,368.57
2026-06-30,357.37,289.36,373.02
2026-07-01,361.21,294.38,384.28
2026-07-02,359.91,308.63,390.49
2026-07-06,366.46,312.66,386.74
2026-07-07,367.03,310.66,388.84
2026-07-08,361.92,313.39,383.34
2026-07-09,358.89,316.22,384.36
2026-07-10,357.18,315.32,385.10
2026-07-13,352.51,317.31,390.99
2026-07-14,359.51,314.86,384.93
2026-07-15,370.92,327.50,395.63
2026-07-16,354.46,333.26,401.10
2026-07-17,346.77,333.74,393.82
2026-07-20,351.99,326.59,402.29
2026-07-21,347.15,327.74,397.75
2026-07-22,342.09,325.89,390.34
2026-07-23,317.69,321.66,381.58
2026-07-24,319.74,333.02,381.70
2026-07-27,326.56,336.91,389.10
2026-07-28,333.71,340.08,393.35
2026-07-29,336.71,338.19,390.54
2026-07-30,333.66,333.43,451.10
2026-07-31,356.13,308.91,464.72
