simulation_id,mean_daily_return,estimated_se,ci_lower,ci_upper,covers_trus_mean,t_statistic,p_value,reject_null,sample_sharpe
151,0.0006592579937246113,0.0005915367663416747,-0.0005057501405263352,0.0018242661279755578,True,1.114483547323279,0.26613780087141076,False,1.114483547323279
152,0.00022540937113851023,0.0005725912099767864,-0.0009022862433691478,0.0013531049856461684,True,0.39366544091315797,0.6941622598322609,False,0.393665440913158
153,-0.0003781617569958752,0.0006299999092076304,-0.0016189215213353767,0.0008625980073436264,True,-0.6002568436422482,0.5488766332053867,False,-0.6002568436422482
154,0.001000051123587873,0.0006540495905185684,-0.00028807353157094613,0.002288175778746692,True,1.5290142186236593,0.12752015401072864,False,1.529014218623659
155,0.0005198353780490547,0.000611912581541647,-0.0006853021138355144,0.0017249728699336238,True,0.8495255592545362,0.39639846114948374,False,0.8495255592545361
156,1.8942383871054726e-06,0.0006189601367683704,-0.0012171231332156636,0.0012209116099898747,True,0.0030603560303502086,0.9975606238610462,False,0.0030603560303502095
157,-0.0006270057053192009,0.0006589972380209452,-0.001924874555452278,0.0006708631448138763,True,-0.9514542233927731,0.34228912934446426,False,-0.951454223392773
158,-0.0006547020033027912,0.0006433775212226816,-0.0019218084424411771,0.0006124044358355949,True,-1.017601612904642,0.3098471742372804,False,-1.0176016129046417
159,0.000264844761428013,0.0006717507314452583,-0.0010581415867624187,0.0015878311096184448,True,0.39426047346194143,0.6937235052469506,False,0.3942604734619414
160,0.00018279111381382535,0.0006293557158844494,-0.0010566999373970275,0.0014222821650246784,True,0.29044165199476163,0.771718203911512,False,0.29044165199476163
161,-0.0013049009488312487,0.000614393614734818,-0.002514924736912192,-9.487716075030537e-05,False,-2.1238842942638074,0.03465799807020145,True,-2.123884294263808
162,0.0006601472464171784,0.0006113413133627247,-0.0005438651555099243,0.001864159648344281,True,1.0798341809847485,0.28125253995438276,False,1.0798341809847487
163,1.553423947723644e-05,0.0005988275643453891,-0.0011638328314667536,0.0011949013104212264,True,0.025941089559258612,0.9793249384744012,False,0.025941089559258612
164,-0.00013911129521889388,0.000669662255088519,-0.0014579844722892288,0.001179761881851441,True,-0.20773351665236903,0.835605494127245,False,-0.20773351665236903
165,-0.0004065774918137881,0.0006284527980032603,-0.0016442902821691891,0.0008311352985416131,True,-0.6469499270360138,0.5182555362915013,False,-0.646949927036014
166,0.0013104905809482124,0.000586018085287204,0.0001563512695407839,0.002464629892355641,False,2.2362630332576656,0.026213687957979313,True,2.236263033257666
167,0.00030383952234241967,0.0006116252225549905,-0.0009007320274469937,0.0015084110721318331,True,0.4967740229436038,0.6197832264770965,False,0.49677402294360384
168,6.18435283439573e-05,0.000625397071220844,-0.0011698511296482099,0.0012935381863361246,True,0.09888682117303797,0.9213070603577734,False,0.09888682117303797
169,-0.0012173567882851615,0.0006395122444379327,-0.0024768507185287704,4.21371419584472e-05,True,-1.9035707273362628,0.058109933995939514,False,-1.9035707273362628
170,-0.00020558996531011884,0.0006264940828050502,-0.0014394451439861849,0.001028265213365947,True,-0.32815946862517054,0.7430646742531132,False,-0.32815946862517054
171,-0.0003783145366820103,0.0005946247655305522,-0.0015494043625171525,0.0007927752891531319,True,-0.6362239829423523,0.5252101666220361,False,-0.6362239829423523
172,-0.0007848295161105501,0.0006400725508861271,-0.002045426947618935,0.0004757679153978349,True,-1.2261571208201618,0.22128864769601903,False,-1.2261571208201618
173,0.0006490186792909244,0.0006499387026237982,-0.0006310097456605661,0.001929047104242415,True,0.9985844459959691,0.3189577406140319,False,0.9985844459959692
174,0.0004000626637581869,0.0006471171653974814,-0.0008744088558464392,0.001674534183362813,True,0.6182229202843889,0.536988969693488,False,0.618222920284389
175,-0.0008891886497582072,0.000609176968424888,-0.0020889384604122455,0.00031056116089583127,True,-1.4596557254246305,0.1456351237779174,False,-1.4596557254246305
176,0.0005255253937670098,0.0006467378817204134,-0.0007481991417207953,0.0017992499292548148,True,0.8125786483529287,0.4172297044311899,False,0.8125786483529287
177,0.0009903242020948373,0.0006698687602071033,-0.00032895567859326765,0.0023096040827829422,True,1.4783854105820053,0.1405584301330528,False,1.4783854105820053
178,0.0007216236347782445,0.0006561748600828139,-0.0005706866542594872,0.0020139339238159763,True,1.099742886655503,0.2724978139464576,False,1.0997428866555028
179,-0.001129619056723722,0.0006257213544997667,-0.0023619523777360816,0.00010271426428863748,True,-1.8053068647893544,0.07222488818030506,False,-1.8053068647893544
180,0.0012674751109350336,0.0006543468232172266,-2.1234932202023656e-05,0.002556185154072091,True,1.9370081216307273,0.05386648946978792,False,1.9370081216307276
181,-0.0007402096320694812,0.000640375855865631,-0.002001404410671718,0.0005209851465327557,True,-1.1558987199305,0.24882165056542427,False,-1.1558987199305
182,0.0013226290923044595,0.0006502823556572689,4.192385637158337e-05,0.0026033343282373354,False,2.0339304623568024,0.04301028731355193,True,2.0339304623568024
183,-0.00020263383827157788,0.0005723398351166783,-0.0013298343799901288,0.0009245667034469731,True,-0.35404461796769493,0.7236026753187234,False,-0.35404461796769493
